,Owner_entity,COUNT(*)
0,"Centrum Voor Politieke, Economische En Sociale Studies Brussel., Oth",13
1,"KSA Oost-Vlaanderen, Oth",5
2,"Ksa. Noordzeegouw, Oth",5
3,"Cvp, Christelijke Volkspartij, Oth",4
4,"Cicm Scheut, Oth",4
5,"Kajottersbeweging, Oth",3
6,"Vvksm., Oth",3
7,"Vkaj., Oth",3
8,"Ksa, Ichtegem, Oth",3
9,"Interdiocesane Commissie Voor Liturgische Zielzorg., Oth",2
10,"Pro Mundi Vita, Oth",2
11,"Acw., Oth",2
12,"Priesters Van Het Heilig Hart, Oth",2
13,"Huize Levensruimte Averbode, Oth",2
14,"Pic, Hasselt, Oth",2
15,"Landsbond Der Christelijke Mutualiteiten., Othalliance Nationale Des Mutualites Chr̩tiennes, Oth",2
16,"Wereldscholen. Evangelie En Bevrijding, Oth",2
17,"Verbond Der Medisch-sociale Instellingen., Oth",2
18,"Kav., Oth",2
19,"Katholieke Charismatische Vernieuwing, Oth",2
20,"Ksa. Rooyghem, Oth",2
21,"Ksa. Deerlijk, Oth",2
22,"Wereldscholen Antwerpen, Oth",2
23,"Cvp Brasschaat, Oth",2
24,"Joc, Oth",2
25,"Davidsfonds Hoge Noorden, Oth",2
26,"Davidsfonds Drogenbos, Oth",2
27,"Cvp Bierbeek, Oth",2
28,"Li̬ge, Dioc̬se, Oth",2
29,"Cvp, Eeklo, Oth",2
30,"Koninklijke Fanfare De Verenigde Vrienden, Heusden-zolder, Othtrommelkorps De Toekomst, Heusden-zolder, Oth",2
31,"Ksa, Vichte, Oth",2
32,"Ksa, Kortrijk, Oth",2
33,"Cvp. Limburg, Oth",2
34,"Institut Notre-dame De La Joie, Othonze-lieve-vrouw Van De Vreugde Instituut, Oth",2
35,"Mouvement International De La Jeunesse Agricole Et Rurale Catholique., Oth",2
36,"Unda., Oth",2
